cod_dpto,dpto,cod_mpio,nom_mpio,tipo_municipio,longitud,latitud,llave_norm
15,BOYACÁ,15380,LA CAPILLA,Municipio,,,BOYACA|LA CAPILLA
15,BOYACÁ,15401,LA VICTORIA,Municipio,,,BOYACA|LA VICTORIA
15,BOYACÁ,15403,LA UVITA,Municipio,,,BOYACA|LA UVITA
15,BOYACÁ,15407,VILLA DE LEYVA,Municipio,,,BOYACA|VILLA DE LEYVA
15,BOYACÁ,15425,MACANAL,Municipio,,,BOYACA|MACANAL
15,BOYACÁ,15442,MARIPÍ,Municipio,,,BOYACA|MARIPI
15,BOYACÁ,15455,MIRAFLORES,Municipio,,,BOYACA|MIRAFLORES
15,BOYACÁ,15464,MONGUA,Municipio,,,BOYACA|MONGUA
15,BOYACÁ,15466,MONGUÍ,Municipio,,,BOYACA|MONGUI
15,BOYACÁ,15469,MONIQUIRÁ,Municipio,,,BOYACA|MONIQUIRA
15,BOYACÁ,15476,MOTAVITA,Municipio,,,BOYACA|MOTAVITA
15,BOYACÁ,15480,MUZO,Municipio,,,BOYACA|MUZO
15,BOYACÁ,15491,NOBSA,Municipio,,,BOYACA|NOBSA
15,BOYACÁ,15494,NUEVO COLÓN,Municipio,,,BOYACA|NUEVO COLON
15,BOYACÁ,15500,OICATÁ,Municipio,,,BOYACA|OICATA
15,BOYACÁ,15507,OTANCHE,Municipio,,,BOYACA|OTANCHE
15,BOYACÁ,15511,PACHAVITA,Municipio,,,BOYACA|PACHAVITA
15,BOYACÁ,15514,PÁEZ,Municipio,,,BOYACA|PAEZ
15,BOYACÁ,15516,PAIPA,Municipio,,,BOYACA|PAIPA
15,BOYACÁ,15518,PAJARITO,Municipio,,,BOYACA|PAJARITO
15,BOYACÁ,15522,PANQUEBA,Municipio,,,BOYACA|PANQUEBA
15,BOYACÁ,15531,PAUNA,Municipio,,,BOYACA|PAUNA
15,BOYACÁ,15533,PAYA,Municipio,,,BOYACA|PAYA
15,BOYACÁ,15537,PAZ DE RÍO,Municipio,,,BOYACA|PAZ DE RIO
15,BOYACÁ,15542,PESCA,Municipio,,,BOYACA|PESCA
15,BOYACÁ,15550,PISBA,Municipio,,,BOYACA|PISBA
15,BOYACÁ,15572,PUERTO BOYACÁ,Municipio,,,BOYACA|PUERTO BOYACA
15,BOYACÁ,15580,QUÍPAMA,Municipio,,,BOYACA|QUIPAMA
15,BOYACÁ,15599,RAMIRIQUÍ,Municipio,,,BOYACA|RAMIRIQUI
