cod_mpio,cod_dpto,nom_mpio,a_o,poblacion,pct_rural_disperso,fuente
05543,05,PEQUE,2017,8108.0,71.695,dane
05543,05,PEQUE,2018,8108.0,71.695,dane
05543,05,PEQUE,2019,8257.0,70.922,dane
05543,05,PEQUE,2020,8421.0,70.265,dane
05543,05,PEQUE,2021,8510.0,69.777,dane
05576,05,PUEBLORRICO,2017,8660.0,48.58,dane
05576,05,PUEBLORRICO,2018,8660.0,48.58,dane
05576,05,PUEBLORRICO,2019,8754.0,48.184,dane
05576,05,PUEBLORRICO,2020,8861.0,47.703,dane
05576,05,PUEBLORRICO,2021,8909.0,47.39,dane
05579,05,PUERTO BERRÍO,2017,39317.0,17.008,dane
05579,05,PUERTO BERRÍO,2018,39317.0,17.008,dane
05579,05,PUERTO BERRÍO,2019,39202.0,16.224,dane
05579,05,PUERTO BERRÍO,2020,39144.0,15.384,dane
05579,05,PUERTO BERRÍO,2021,39297.0,15.172,dane
05585,05,PUERTO NARE,2017,14382.0,69.538,dane
05585,05,PUERTO NARE,2018,14382.0,69.538,dane
05585,05,PUERTO NARE,2019,14651.0,68.787,dane
05585,05,PUERTO NARE,2020,14934.0,67.999,dane
05585,05,PUERTO NARE,2021,15076.0,67.531,dane
05591,05,PUERTO TRIUNFO,2017,18052.0,83.813,dane
05591,05,PUERTO TRIUNFO,2018,18052.0,83.813,dane
05591,05,PUERTO TRIUNFO,2019,18551.0,83.349,dane
05591,05,PUERTO TRIUNFO,2020,19074.0,82.888,dane
05591,05,PUERTO TRIUNFO,2021,19310.0,82.465,dane
05604,05,REMEDIOS,2017,28423.0,59.054,dane
05604,05,REMEDIOS,2018,28423.0,59.054,dane
05604,05,REMEDIOS,2019,29213.0,58.522,dane
05604,05,REMEDIOS,2020,30056.0,58.078,dane
05604,05,REMEDIOS,2021,30674.0,57.658,dane
05607,05,RETIRO,2017,23516.0,46.917,dane
05607,05,RETIRO,2018,23516.0,46.917,dane
05607,05,RETIRO,2019,24136.0,46.59,dane
05607,05,RETIRO,2020,24807.0,46.289,dane
05607,05,RETIRO,2021,25360.0,45.923,dane
05615,05,RIONEGRO,2017,135473.0,38.725,dane
05615,05,RIONEGRO,2018,135473.0,38.725,dane
05615,05,RIONEGRO,2019,138479.0,38.365,dane
05615,05,RIONEGRO,2020,141638.0,38.013,dane
05615,05,RIONEGRO,2021,144612.0,37.718,dane
05628,05,SABANALARGA,2017,9034.0,67.323,dane
05628,05,SABANALARGA,2018,9034.0,67.323,dane
05628,05,SABANALARGA,2019,9207.0,66.754,dane
05628,05,SABANALARGA,2020,9422.0,66.249,dane
05628,05,SABANALARGA,2021,9507.0,65.846,dane
05631,05,SABANETA,2017,82376.0,14.539,dane
05631,05,SABANETA,2018,82376.0,14.539,dane
05631,05,SABANETA,2019,86724.0,14.249,dane
05631,05,SABANETA,2020,91288.0,14.017,dane
05631,05,SABANETA,2021,94754.0,13.919,dane
05642,05,SALGAR,2017,18267.0,63.223,dane
05642,05,SALGAR,2018,18267.0,63.223,dane
05642,05,SALGAR,2019,18477.0,62.602,dane
05642,05,SALGAR,2020,18723.0,62.031,dane
05642,05,SALGAR,2021,18784.0,61.632,dane
05647,05,SAN ANDRÉS DE CUERQUÍA,2017,7215.0,60.748,dane
05647,05,SAN ANDRÉS DE CUERQUÍA,2018,7215.0,60.748,dane
05647,05,SAN ANDRÉS DE CUERQUÍA,2019,7307.0,59.97,dane
05647,05,SAN ANDRÉS DE CUERQUÍA,2020,7374.0,59.167,dane
05647,05,SAN ANDRÉS DE CUERQUÍA,2021,7392.0,58.915,dane
05649,05,SAN CARLOS,2017,16256.0,54.712,dane
05649,05,SAN CARLOS,2018,16256.0,54.712,dane
05649,05,SAN CARLOS,2019,16423.0,54.57,dane
05649,05,SAN CARLOS,2020,16629.0,54.405,dane
05649,05,SAN CARLOS,2021,16720.0,54.109,dane
05652,05,SAN FRANCISCO,2017,5648.0,55.86,dane
05652,05,SAN FRANCISCO,2018,5648.0,55.86,dane
05652,05,SAN FRANCISCO,2019,5736.0,55.631,dane
05652,05,SAN FRANCISCO,2020,5817.0,55.235,dane
05652,05,SAN FRANCISCO,2021,5874.0,54.852,dane
05656,05,SAN JERÓNIMO,2017,15358.0,56.348,dane
05656,05,SAN JERÓNIMO,2018,15358.0,56.348,dane
05656,05,SAN JERÓNIMO,2019,15840.0,55.979,dane
05656,05,SAN JERÓNIMO,2020,16344.0,55.629,dane
05656,05,SAN JERÓNIMO,2021,16777.0,55.224,dane
05658,05,SAN JOSÉ DE LA MONTAÑA,2017,3648.0,35.526,dane
05658,05,SAN JOSÉ DE LA MONTAÑA,2018,3648.0,35.526,dane
05658,05,SAN JOSÉ DE LA MONTAÑA,2019,3698.0,35.722,dane
05658,05,SAN JOSÉ DE LA MONTAÑA,2020,3771.0,35.932,dane
05658,05,SAN JOSÉ DE LA MONTAÑA,2021,3818.0,35.752,dane
05659,05,SAN JUAN DE URABÁ,2017,20085.0,67.005,dane
05659,05,SAN JUAN DE URABÁ,2018,20085.0,67.005,dane
05659,05,SAN JUAN DE URABÁ,2019,20138.0,65.945,dane
05659,05,SAN JUAN DE URABÁ,2020,20239.0,64.806,dane
05659,05,SAN JUAN DE URABÁ,2021,20197.0,64.188,dane
05660,05,SAN LUIS,2017,12990.0,42.995,dane
05660,05,SAN LUIS,2018,12990.0,42.995,dane
05660,05,SAN LUIS,2019,13220.0,42.073,dane
05660,05,SAN LUIS,2020,13475.0,41.187,dane
05660,05,SAN LUIS,2021,13691.0,40.742,dane
05664,05,SAN PEDRO DE LOS MILAGROS,2017,21949.0,46.458,dane
05664,05,SAN PEDRO DE LOS MILAGROS,2018,21949.0,46.458,dane
05664,05,SAN PEDRO DE LOS MILAGROS,2019,22073.0,45.671,dane
